Sn. no.,roll no.,NAME,D/O/B,FATHER'S NAME,Permanent account Number,aadhar card number,Bank accout no.
1,1516110001,GAURAV,12/23/1999,GIRISH KUMAR,HPS98,321-78-945-236,156789156789
2,1516110002,MAYANK,12/24/1999,RAKESH BHATT,HFRPS9838T,321-898-945-237,123456789156790
3,1516110003,SHUBHAM GARG,12/25/1999,RAM GARG,HFRPS9838K,321-908-945-238,123456789156890
4,1516110004,SHUBHAM CHAUN,12/26/1999,MUKESH KUMAR,HFRPS9838L,321-878-945-239,123456789156891
5,1516120005,GARIMA,12/27/1999,YOGESH ,HFRPS9838M,321-678-344-240,123456789156892
6,1516120006,HARSIMRAN,12/28/1999,BHUPINDER SINGH BAHNIWAL,HFRPS9838M,321-678-912-241,123456789156893
7,1516120007,HARSH KUMAR,12/29/1999,DENESH KUMAR,HFRPS98389,671-678-945-242,123456789156894
8,1516120008,HERSIT AGGARWAL,12/30/1999,DEVENDER ,HFRPS9839W,921-678-945-243,123456789156895
9,1516140009,KATIYANI,12/31/1999,RAMGOPAL,HFRPS98391,421-678-945-244,123456789156896
10,1516140010,CHANDAN,1/1/2000,GANESH,HFRPS98392,321-678-945-245,123456784567434
11,1516110011,SIDDHNART,3/4/1997,FARAHAN,HFRPS98393,381-678-945-246,123456789156888
12,1516110012,SIDD PANDAY,3/5/1997,HARSH,HFRPS9839Q,321-678-934-247,123456789156678
13,1516110013,ANURAG KUMAR,3/6/1997,RAMESH,HFRPS98395,321-678-945-048,123456789156345
14,1516110014,RAM PATEL,3/7/1997,HARINATH,HFRPS98396,321-978-945-249,123456789152344
15,1516150015,GAURAV,3/8/1997,GIRISH KUMAR,HFRPS9839B,321-456-945-250,123456789156675
16,1516150016,MAYANK,3/9/1997,RAKESH BHATT,HFRPS98398,546-678-945-251,123456789156756
17,1516110017,SHUBHAM GARG,3/10/1997,RAM GARG,HFRPS9839Q,890-678-945-252,123456789154567
18,1516150018,SHUBHAM CHAUN,3/11/1997,MUKESH KUMAR,HFRPS9840M,678-678-945-253,123456789154524
19,1516110019,GARIMA,3/12/1997,YOGESH ,HFRPS98401,124-678-945-254,123456789156789
20,1516110020,HARSIMRAN,3/13/1997,BHUPINDER SINGH BAHNIWAL,HFRPS98402,678-678-945-299,124549759255551
