Bank accout no.,aadhar card number,NAME,D/O/B,FATHER'S NAME
123456789156789,321-678-945-236,GAURAV,12/23/1999,GIRISH KUMAR
123456789156790,321-898-945-237,MAYANK,12/24/1999,  RAKESH BHATT
123456789156890,321-908-945-238,SHUBHAM GARG,12/25/1999,RAM GARG
123456789156891,321-878-945-239,SHUBHAM CHAUN,12/26/1999,MUKESH KUMAR
123456789156892,321-678-344-240,GARIMA,12/27/1999,YOGESH 
123456789156893,321-678-912-241,HARSIMRAN,12/28/1999,  BHUPINDER SINGH BAHNIWAL
123456789156894,671-678-945-242,HARSH KUMAR,12/29/1999,DENESH KUMAR
123456789156895,921-678-945-243,HERSIT AGGARWAL,12/30/1999,DEVENDER 
123456789156896,421-678-945-244,KATIYANI,12/31/1999,RAMGOPAL
123456784567434,321-678-945-245,CHANDAN,1/1/2000,GANESH
123456789156888,381-678-945-246,SIDDHNART,3/4/1997,FARAHAN
123456789156678,321-678-934-247,SIDD PANDAY,3/5/1997,HARSH
123456789156345,321-678-945-048,ANURAG KUMAR,3/6/1997,RAMESH
123456789152344,321-978-945-249,RAM PATEL,3/7/1997,HARINATH
123456789156675,321-456-945-250,GAURAV,3/8/1997,GIRISH KUMAR
123456789156756,546-678-945-251,MAYANK,3/9/1997,  RAKESH BHATT
123456789154567,890-678-945-252,SHUBHAM GARG,3/10/1997,RAM GARG
123456789154524,678-678-945-253,SHUBHAM CHAUN,3/11/1997,MUKESH KUMAR
124549759255551,124-678-945-254,GARIMA,3/12/1997,YOGESH 
124549750255551,678-678-945-299,HARSIMRAN,3/13/1997,BHUPINDER SINGH BAHNIWAL
